transformer_id,transformer_code,timestamp,load_percentage,voltage_lv,current_a,temperature_c
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-04T23:00:07.939149+00:00,87.32,382.5,262.3,66.4
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T00:00:07.939149+00:00,94.25,385.0,284.0,70.8
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T01:00:07.939149+00:00,89.95,383.6,269.3,67.0
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T02:00:07.939149+00:00,95.36,381.7,287.1,74.1
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T03:00:07.939149+00:00,83.44,388.6,249.6,64.1
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T04:00:07.939149+00:00,83.34,387.7,248.4,63.1
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T05:00:07.939149+00:00,90.26,380.9,273.3,68.7
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T06:00:07.939149+00:00,92.65,380.4,281.7,72.4
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T07:00:07.939149+00:00,99.54,378.0,303.5,76.7
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T08:00:07.939149+00:00,100.57,379.3,305.0,76.9
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T09:00:07.939149+00:00,90.89,381.7,274.0,68.4
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T10:00:07.939149+00:00,80.31,384.4,240.8,63.1
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T11:00:07.939149+00:00,93.06,385.2,277.4,69.9
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T12:00:07.939149+00:00,95.39,380.9,289.7,73.1
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T13:00:07.939149+00:00,90.12,383.5,270.4,67.7
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T14:00:07.939149+00:00,100.65,377.3,307.9,76.5
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T15:00:07.939149+00:00,103.2,380.6,311.3,77.1
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-05T16:00:07.939149+00:00,100.65,377.4,308.5,74.6
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-04T17:00:07.939149+00:00,99.1,381.0,376.3,83.5
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-04T18:00:07.939149+00:00,80.16,388.6,298.1,72.4
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-04T19:00:07.939149+00:00,88.03,381.3,331.4,77.9
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-04T20:00:07.939149+00:00,80.6,385.1,302.1,72.2
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-04T21:00:07.939149+00:00,97.28,382.3,365.9,85.5
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-04T22:00:07.939149+00:00,98.17,380.1,371.9,83.0
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-04T23:00:07.939149+00:00,81.85,385.4,308.5,73.7
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T00:00:07.939149+00:00,97.92,380.6,371.7,85.2
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T01:00:07.939149+00:00,88.73,383.0,335.3,79.2
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T02:00:07.939149+00:00,102.83,380.4,391.9,85.9
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T03:00:07.939149+00:00,81.16,384.3,306.7,74.7
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T04:00:07.939149+00:00,89.23,384.3,333.6,76.8
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T05:00:07.939149+00:00,81.35,386.3,305.0,72.9
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T06:00:07.939149+00:00,85.25,385.3,317.7,75.6
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T07:00:07.939149+00:00,84.92,385.1,318.4,76.3
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T08:00:07.939149+00:00,90.89,382.0,342.9,80.4
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T09:00:07.939149+00:00,88.59,381.4,334.7,79.2
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T10:00:07.939149+00:00,90.92,385.1,340.8,79.3
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T11:00:07.939149+00:00,88.06,383.7,333.0,77.5
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T12:00:07.939149+00:00,86.86,387.5,324.4,79.1
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T13:00:07.939149+00:00,99.7,379.4,380.1,86.5
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T14:00:07.939149+00:00,82.72,383.3,310.4,75.2
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T15:00:07.939149+00:00,99.07,379.5,375.1,86.2
03885733-23ce-4e6f-a07a-c49466a85dbb,100604,2026-08-05T16:00:07.939149+00:00,80.9,387.3,301.9,73.1
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-04T17:00:07.939149+00:00,44.7,407.8,158.4,45.6
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-04T18:00:07.939149+00:00,71.92,405.1,257.1,52.7
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-04T19:00:07.939149+00:00,82.33,402.1,296.4,57.1
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-04T20:00:07.939149+00:00,63.3,405.0,224.9,50.3
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-04T21:00:07.939149+00:00,74.81,405.1,266.8,51.1
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-04T22:00:07.939149+00:00,58.77,404.8,210.8,50.3
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-04T23:00:07.939149+00:00,30.57,410.7,108.4,45.3
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T00:00:07.939149+00:00,38.62,408.0,135.3,45.1
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T01:00:07.939149+00:00,34.06,409.5,118.8,43.4
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T02:00:07.939149+00:00,44.01,407.7,154.4,45.5
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T03:00:07.939149+00:00,46.09,406.5,162.9,45.3
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T04:00:07.939149+00:00,54.06,408.6,189.8,47.9
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T05:00:07.939149+00:00,40.25,410.8,139.6,43.3
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T06:00:07.939149+00:00,49.17,405.9,175.0,46.1
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T07:00:07.939149+00:00,35.25,408.7,124.6,46.7
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T08:00:07.939149+00:00,59.25,406.1,212.5,48.4
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T09:00:07.939149+00:00,58.22,405.8,207.6,50.3
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T10:00:07.939149+00:00,59.07,405.3,209.1,48.3
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T11:00:07.939149+00:00,54.83,408.4,194.5,57.3
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T12:00:07.939149+00:00,46.0,406.4,161.7,54.3
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T13:00:07.939149+00:00,42.53,407.2,150.7,50.8
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T14:00:07.939149+00:00,42.47,407.3,150.5,55.6
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T15:00:07.939149+00:00,34.29,410.2,122.6,53.7
03940694-6b33-490c-afc3-267bd64bf402,101174,2026-08-05T16:00:07.939149+00:00,49.56,407.7,175.2,53.4
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-04T17:00:07.939149+00:00,35.93,411.5,250.1,34.2
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-04T18:00:07.939149+00:00,59.64,406.7,422.7,41.2
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-04T19:00:07.939149+00:00,69.93,403.1,499.6,43.1
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-04T20:00:07.939149+00:00,50.52,408.2,357.1,39.1
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-04T21:00:07.939149+00:00,71.8,402.8,516.2,43.2
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-04T22:00:07.939149+00:00,61.96,407.6,437.2,40.5
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-04T23:00:07.939149+00:00,38.09,411.2,265.4,37.5
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T00:00:07.939149+00:00,58.8,406.6,419.4,41.4
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T01:00:07.939149+00:00,49.04,406.2,348.1,36.9
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T02:00:07.939149+00:00,28.92,412.1,201.2,35.8
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T03:00:07.939149+00:00,50.56,405.4,360.8,40.0
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T04:00:07.939149+00:00,35.6,408.8,251.3,34.2
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T05:00:07.939149+00:00,44.55,406.3,314.7,37.1
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T06:00:07.939149+00:00,34.82,410.5,243.5,37.7
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T07:00:07.939149+00:00,50.92,406.1,361.4,37.3
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T08:00:07.939149+00:00,44.21,409.5,312.9,35.3
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T09:00:07.939149+00:00,34.3,408.5,243.5,35.3
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T10:00:07.939149+00:00,57.16,407.7,404.4,39.3
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T11:00:07.939149+00:00,37.26,410.0,260.9,44.7
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T12:00:07.939149+00:00,32.64,409.3,229.2,45.5
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T13:00:07.939149+00:00,41.12,408.9,291.7,45.4
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T14:00:07.939149+00:00,35.75,408.9,251.1,38.3
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T15:00:07.939149+00:00,28.4,409.9,198.9,44.0
0406f7e2-bb36-4546-a3be-daa55725fa9b,100982,2026-08-05T16:00:07.939149+00:00,39.34,411.0,277.8,45.1
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-04T17:00:07.939149+00:00,55.9,408.5,249.3,41.8
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-04T18:00:07.939149+00:00,60.06,406.2,268.0,40.3
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-04T19:00:07.939149+00:00,79.69,403.9,358.3,44.7
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-04T20:00:07.939149+00:00,61.65,407.7,275.5,40.3
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-04T21:00:07.939149+00:00,72.65,404.6,327.1,46.0
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-04T22:00:07.939149+00:00,72.62,403.7,326.0,43.9
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-04T23:00:07.939149+00:00,55.87,408.1,247.7,40.9
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T00:00:07.939149+00:00,52.61,405.2,237.6,39.2
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T01:00:07.939149+00:00,44.64,408.8,197.7,39.2
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T02:00:07.939149+00:00,28.8,410.6,126.9,33.0
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T03:00:07.939149+00:00,58.66,408.1,261.0,40.2
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T04:00:07.939149+00:00,56.04,407.1,251.4,41.1
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T05:00:07.939149+00:00,51.64,408.2,231.7,36.5
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T06:00:07.939149+00:00,52.84,407.2,236.9,39.7
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T07:00:07.939149+00:00,32.55,409.8,143.1,37.3
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T08:00:07.939149+00:00,59.51,404.5,269.2,41.8
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T09:00:07.939149+00:00,39.41,410.0,173.0,35.0
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T10:00:07.939149+00:00,37.61,408.4,168.0,36.4
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T11:00:07.939149+00:00,29.04,408.7,129.7,38.2
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T12:00:07.939149+00:00,58.19,405.7,258.9,46.4
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T13:00:07.939149+00:00,45.91,409.1,202.7,44.1
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T14:00:07.939149+00:00,52.19,406.8,232.2,42.3
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T15:00:07.939149+00:00,37.1,407.6,164.3,39.6
046a46df-7649-46ef-9946-eb024949b139,101232,2026-08-05T16:00:07.939149+00:00,40.32,408.3,181.2,41.0
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-04T17:00:07.939149+00:00,34.85,409.7,243.7,35.6
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-04T18:00:07.939149+00:00,76.57,403.0,548.9,45.9
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-04T19:00:07.939149+00:00,65.82,404.2,469.6,43.4
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-04T20:00:07.939149+00:00,76.23,402.1,548.0,45.9
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-04T21:00:07.939149+00:00,65.53,404.0,467.0,39.9
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-04T22:00:07.939149+00:00,54.05,408.6,383.2,37.3
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-04T23:00:07.939149+00:00,41.68,410.4,292.8,36.7
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T00:00:07.939149+00:00,60.69,407.4,431.1,38.6
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T01:00:07.939149+00:00,37.4,408.2,264.4,33.9
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T02:00:07.939149+00:00,45.64,409.7,321.8,36.7
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T03:00:07.939149+00:00,36.05,410.6,254.1,35.5
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T04:00:07.939149+00:00,35.06,409.1,249.1,35.6
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T05:00:07.939149+00:00,56.71,404.9,405.0,38.3
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T06:00:07.939149+00:00,32.41,412.0,226.3,35.5
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T07:00:07.939149+00:00,34.28,410.9,239.2,35.1
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T08:00:07.939149+00:00,36.58,408.5,260.1,35.3
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T09:00:07.939149+00:00,49.3,409.2,348.3,36.3
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T10:00:07.939149+00:00,41.94,406.8,296.5,36.0
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T11:00:07.939149+00:00,61.44,403.9,440.6,50.4
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T12:00:07.939149+00:00,35.07,411.6,244.1,42.1
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T13:00:07.939149+00:00,42.96,409.6,301.7,42.5
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T14:00:07.939149+00:00,37.41,410.7,261.0,44.6
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T15:00:07.939149+00:00,57.69,406.3,408.8,46.3
0470cc96-9f22-4ad4-bfd2-cb674063ef19,100792,2026-08-05T16:00:07.939149+00:00,43.02,410.2,302.5,41.9
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-04T17:00:07.939149+00:00,53.1,405.6,76.0,43.3
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-04T18:00:07.939149+00:00,61.97,404.1,86.6,44.8
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-04T19:00:07.939149+00:00,70.7,403.6,101.9,47.8
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-04T20:00:07.939149+00:00,54.96,405.2,80.0,43.3
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-04T21:00:07.939149+00:00,61.63,404.0,86.1,43.8
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-04T22:00:07.939149+00:00,65.81,405.6,93.5,46.6
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-04T23:00:07.939149+00:00,42.57,408.1,62.2,41.7
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T00:00:07.939149+00:00,46.9,408.6,65.4,42.0
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T01:00:07.939149+00:00,54.61,408.2,78.5,46.0
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T02:00:07.939149+00:00,36.18,410.5,49.0,41.8
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T03:00:07.939149+00:00,49.8,408.6,71.2,41.7
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T04:00:07.939149+00:00,34.17,410.2,49.6,39.6
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T05:00:07.939149+00:00,28.87,412.4,40.7,36.9
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T06:00:07.939149+00:00,53.23,407.6,73.4,42.2
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T07:00:07.939149+00:00,47.96,406.3,69.5,42.3
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T08:00:07.939149+00:00,54.49,407.6,75.2,42.6
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T09:00:07.939149+00:00,52.05,408.8,75.2,44.9
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T10:00:07.939149+00:00,45.05,406.9,62.6,43.7
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T11:00:07.939149+00:00,61.61,405.8,88.1,54.3
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T12:00:07.939149+00:00,55.82,407.5,80.4,52.8
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T13:00:07.939149+00:00,47.4,409.6,65.9,51.6
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T14:00:07.939149+00:00,35.04,409.9,49.7,47.1
04f4d3fa-ba6d-4814-abdc-f7d1857c49b6,156,2026-08-05T15:00:07.939149+00:00,37.54,409.1,53.0,48.7
