temperature_c,load_percentage,voltage_lv,current_a,ambient_temperature,age_years,rated_kva,risk_label
42.03,56.85,408.0,200.6,25.0,20,250,0
38.34,51.0,405.7,363.5,30.0,8,500,0
48.52,63.92,406.5,228.6,40.0,2,250,0
73.33,101.98,379.4,775.5,25.0,15,500,1
51.75,48.97,406.3,172.3,40.0,15,250,0
32.71,60.27,407.5,86.6,20.0,12,100,0
65.51,86.49,386.0,648.3,30.0,10,500,1
41.24,55.27,404.9,786.5,35.0,1,1000,0
16.79,21.11,410.6,30.1,15.0,2,100,0
98.56,135.16,340.6,1148.4,15.0,1,500,2
32.15,27.62,410.3,40.8,25.0,10,100,0
37.07,25.32,410.8,33.9,30.0,10,100,0
123.37,139.15,340.8,234.8,25.0,10,100,2
94.5,131.99,342.0,2225.4,15.0,2,1000,2
113.15,119.8,348.2,995.5,40.0,8,500,2
44.02,64.54,405.6,457.9,30.0,10,500,0
41.82,24.75,410.1,88.7,40.0,2,250,0
64.5,90.75,382.9,135.6,30.0,8,100,1
90.27,100.54,377.9,384.0,35.0,25,250,1
39.22,37.07,410.6,521.8,35.0,1,1000,0
52.99,55.87,406.6,397.8,40.0,12,500,0
41.26,70.46,403.8,252.7,30.0,1,250,0
47.53,73.19,405.4,261.1,35.0,2,250,0
52.4,52.51,408.8,74.7,35.0,25,100,0
56.93,51.65,407.7,364.1,40.0,25,500,0
46.03,47.51,406.4,337.7,30.0,25,500,0
49.52,65.58,403.8,92.2,30.0,20,100,0
37.93,36.82,409.2,520.7,35.0,1,1000,0
33.47,57.92,404.8,827.3,20.0,12,1000,0
23.27,57.35,405.3,80.0,15.0,5,100,0
48.99,81.83,385.5,1224.9,15.0,12,1000,1
92.41,119.78,351.5,1968.1,20.0,5,1000,2
46.66,69.83,404.0,999.8,25.0,25,1000,0
122.71,126.3,344.2,2120.9,40.0,8,1000,2
34.84,40.42,409.4,285.0,20.0,25,500,0
31.61,23.78,411.2,168.2,25.0,12,500,0
20.51,46.47,406.9,65.7,15.0,2,100,0
121.55,130.82,341.7,1107.8,20.0,20,500,2
33.16,60.27,407.1,853.7,15.0,20,1000,0
26.13,46.36,407.9,65.2,20.0,5,100,0
118.06,117.39,353.2,1920.0,25.0,25,1000,2
112.29,132.35,339.6,2251.9,20.0,12,1000,2
50.62,90.9,382.0,137.7,15.0,10,100,1
44.23,35.95,407.7,507.6,35.0,12,1000,0
60.59,85.18,387.7,633.7,20.0,20,500,1
26.85,74.67,403.4,107.5,15.0,2,100,0
30.2,44.53,406.4,156.8,25.0,3,250,0
41.36,23.72,412.0,82.0,40.0,2,250,0
43.54,44.45,409.2,156.3,30.0,20,250,0
24.62,66.34,405.1,234.9,15.0,2,250,0
35.02,46.28,407.2,67.2,30.0,1,100,0
21.35,31.9,411.4,223.4,15.0,10,500,0
23.82,31.45,411.1,109.1,20.0,3,250,0
26.29,68.68,405.5,96.3,15.0,5,100,0
58.44,86.17,382.5,128.6,30.0,5,100,1
43.59,46.51,409.7,63.7,35.0,8,100,0
50.0,72.42,404.9,514.8,30.0,20,500,0
37.15,38.21,407.7,137.2,30.0,10,250,0
40.26,58.18,407.5,824.0,25.0,15,1000,0
73.02,89.69,384.3,132.5,25.0,25,100,1
46.83,70.56,405.3,1004.2,25.0,25,1000,0
91.4,103.53,377.8,394.2,40.0,15,250,1
46.65,74.35,402.3,534.3,30.0,10,500,0
60.03,103.38,377.9,393.3,20.0,5,250,1
44.55,45.51,407.1,324.2,40.0,2,500,0
31.83,46.98,407.2,666.9,20.0,15,1000,0
25.28,44.36,406.8,312.9,15.0,12,500,0
43.17,32.83,410.2,463.8,40.0,2,1000,0
37.7,59.06,405.6,210.3,25.0,12,250,0
38.04,23.83,412.4,34.0,30.0,15,100,0
35.48,64.61,404.6,460.9,20.0,15,500,0
89.94,125.15,343.7,213.2,15.0,5,100,2
43.0,36.43,407.7,128.0,35.0,12,250,0
41.19,53.5,408.7,75.7,35.0,2,100,0
29.74,53.44,408.2,190.9,20.0,10,250,0
37.33,25.06,410.1,88.0,35.0,1,250,0
44.49,47.03,409.5,330.5,35.0,12,500,0
47.9,51.82,408.0,733.3,30.0,25,1000,0
117.89,133.65,342.3,561.9,20.0,15,250,2
62.69,87.26,383.5,1311.1,35.0,3,1000,1
113.65,122.58,347.0,201.5,30.0,15,100,2
54.1,80.56,389.0,599.9,25.0,10,500,1
44.76,60.12,407.4,86.8,35.0,5,100,0
44.87,45.95,406.8,161.9,35.0,12,250,0
73.31,88.03,382.2,132.0,25.0,25,100,1
28.9,54.45,405.7,77.1,15.0,15,100,0
108.62,131.21,344.6,222.5,15.0,15,100,2
33.98,52.83,408.3,187.6,25.0,5,250,0
34.13,40.02,408.1,284.5,25.0,10,500,0
29.17,33.06,409.7,231.4,20.0,12,500,0
37.02,27.33,411.8,191.7,35.0,2,500,0
39.92,71.83,405.0,102.9,20.0,20,100,0
56.48,74.1,404.8,1055.9,40.0,12,1000,0
37.0,40.56,408.2,574.6,30.0,8,1000,0
122.77,132.04,340.0,562.8,15.0,25,250,2
34.05,59.75,405.4,849.7,25.0,2,1000,0
19.94,21.05,410.2,149.8,15.0,8,500,0
49.14,46.36,407.4,658.1,35.0,20,1000,0
29.43,35.96,409.2,505.9,20.0,12,1000,0
53.28,28.2,411.0,398.0,40.0,25,1000,0
49.25,26.24,410.9,36.5,40.0,15,100,0
30.04,50.84,405.8,179.5,15.0,20,250,0
25.19,24.22,410.9,85.4,20.0,10,250,0
40.39,47.42,407.8,334.0,30.0,12,500,0
53.31,98.0,381.5,1485.9,20.0,1,1000,1
81.39,111.3,351.9,458.7,15.0,8,250,2
61.69,99.14,378.0,759.4,25.0,1,500,1
21.82,22.82,410.8,161.0,20.0,3,500,0
28.72,52.23,406.8,741.8,15.0,15,1000,0
62.14,102.03,380.9,1544.2,15.0,15,1000,1
26.72,69.26,406.0,247.0,15.0,3,250,0
42.33,53.51,405.2,381.2,35.0,5,500,0
64.21,82.04,384.8,1230.0,25.0,20,1000,1
30.78,47.98,409.7,167.7,25.0,3,250,0
49.64,68.81,405.1,96.6,30.0,20,100,0
44.5,66.88,403.2,478.8,35.0,1,500,0
73.69,99.51,381.9,377.9,35.0,3,250,1
67.51,86.46,383.9,325.1,30.0,15,250,1
37.63,43.34,407.1,306.2,30.0,8,500,0
114.89,123.12,347.5,1024.3,40.0,5,500,2
121.01,130.63,341.8,222.2,40.0,2,100,2
18.89,20.97,413.1,28.1,15.0,8,100,0
62.19,96.89,378.5,739.7,30.0,1,500,1
98.19,117.37,351.0,1932.9,20.0,15,1000,2
105.72,135.57,339.5,229.7,20.0,3,100,2
63.72,82.81,387.6,615.0,30.0,10,500,1
44.82,41.54,408.6,60.3,40.0,2,100,0
44.86,65.19,407.0,93.8,30.0,12,100,0
108.7,120.34,348.2,198.9,40.0,2,100,2
42.42,57.87,404.9,80.7,30.0,10,100,0
49.91,40.18,407.4,141.4,35.0,25,250,0
138.82,128.79,342.9,2165.6,35.0,25,1000,2
37.99,54.56,406.3,193.7,30.0,3,250,0
48.24,70.11,406.1,249.0,35.0,8,250,0
84.25,98.03,377.8,1499.5,30.0,25,1000,1
36.46,44.47,408.0,630.7,25.0,15,1000,0
27.07,57.48,407.6,81.5,20.0,1,100,0
69.44,84.43,388.1,127.7,35.0,10,100,1
67.89,84.74,386.4,317.4,40.0,1,250,1
101.02,128.73,346.5,2145.0,15.0,8,1000,2
70.58,98.49,382.5,371.8,35.0,3,250,1
40.07,71.8,403.1,514.4,30.0,1,500,0
34.59,28.41,411.3,400.4,25.0,15,1000,0
31.03,50.46,408.2,178.6,20.0,12,250,0
17.75,33.97,410.3,239.4,15.0,2,500,0
45.51,47.96,409.3,338.4,40.0,2,500,0
123.56,132.46,343.8,225.3,40.0,3,100,2
41.86,62.26,404.4,444.0,30.0,10,500,0
46.41,64.29,405.7,92.5,35.0,8,100,0
37.83,26.84,412.1,377.0,35.0,2,1000,0
51.39,74.89,402.8,106.0,30.0,20,100,0
54.19,28.83,412.6,201.8,40.0,25,500,0
31.79,47.1,408.9,334.2,20.0,15,500,0
64.17,83.8,385.8,1252.2,35.0,8,1000,1
61.26,84.59,385.7,124.2,35.0,3,100,1
33.69,50.95,408.0,71.8,25.0,5,100,0
41.15,43.51,407.2,60.8,30.0,15,100,0
42.65,53.7,407.9,758.3,30.0,12,1000,0
28.32,33.26,409.2,48.9,25.0,3,100,0
113.64,139.74,336.3,1199.3,15.0,8,500,2
49.1,63.94,406.5,452.6,35.0,12,500,0
48.76,31.58,411.9,111.8,40.0,12,250,0
45.6,69.27,406.5,99.3,30.0,12,100,0
126.46,138.98,338.8,237.5,25.0,12,100,2
38.18,62.49,403.9,894.9,30.0,1,1000,0
106.7,114.35,351.0,188.5,40.0,8,100,2
87.0,118.02,349.2,1950.3,20.0,5,1000,2
101.49,112.3,354.6,185.5,20.0,20,100,2
65.89,80.1,389.8,115.9,40.0,3,100,1
51.04,23.17,412.8,324.7,40.0,20,1000,0
48.38,56.37,408.1,81.1,30.0,25,100,0
62.94,69.66,403.9,248.1,40.0,25,250,0
27.17,30.04,411.1,423.1,20.0,12,1000,0
57.09,71.36,405.1,253.6,40.0,15,250,0
81.67,92.47,384.9,1386.5,35.0,20,1000,1
72.94,104.55,376.4,401.5,30.0,8,250,1
24.96,65.49,403.9,94.0,15.0,1,100,0
40.48,66.31,403.3,473.6,30.0,3,500,0
30.74,47.16,407.7,167.9,20.0,12,250,0
101.26,128.96,343.7,541.5,20.0,5,250,2
32.35,57.07,405.1,813.1,25.0,1,1000,0
26.51,39.12,409.6,551.9,20.0,8,1000,0
46.2,73.4,403.2,1050.4,30.0,12,1000,0
48.14,86.85,386.2,132.8,20.0,3,100,1
57.69,86.99,385.4,131.9,20.0,15,100,1
28.84,45.12,409.3,320.0,25.0,1,500,0
92.69,110.59,356.0,179.6,20.0,15,100,2
78.17,96.0,379.2,148.3,25.0,25,100,1
73.82,80.23,385.2,1203.5,35.0,20,1000,1
43.65,36.62,409.5,129.1,40.0,1,250,0
19.85,45.69,409.4,62.9,15.0,1,100,0
115.22,137.1,339.6,2330.8,30.0,1,1000,2
49.93,66.83,405.9,237.6,40.0,2,250,0
106.22,123.89,346.9,206.7,20.0,15,100,2
28.82,38.49,408.0,272.7,20.0,10,500,0
89.87,110.82,356.4,181.2,25.0,8,100,2
59.86,88.05,383.9,662.6,15.0,20,500,1
30.42,42.63,407.5,604.6,25.0,5,1000,0
60.92,92.03,385.1,135.8,15.0,20,100,1
46.73,53.38,407.8,756.6,40.0,2,1000,0
53.63,93.68,380.5,1419.5,15.0,8,1000,1
24.04,26.36,411.9,35.5,20.0,5,100,0
54.22,26.14,412.7,34.6,40.0,25,100,0
31.9,68.95,404.0,98.2,15.0,15,100,0
45.71,63.01,405.7,222.8,35.0,5,250,0
51.08,44.79,407.2,317.6,35.0,25,500,0
31.3,31.21,411.7,437.8,20.0,20,1000,0
43.04,57.49,407.3,813.3,35.0,1,1000,0
25.38,20.03,413.2,140.1,25.0,1,500,0
38.13,73.26,404.6,521.8,25.0,5,500,0
34.69,69.3,404.9,99.3,20.0,10,100,0
24.12,30.17,410.5,106.2,15.0,15,250,0
47.83,32.9,408.8,466.2,35.0,20,1000,0
34.34,33.17,408.2,235.4,20.0,25,500,0
50.2,37.93,409.3,267.6,35.0,25,500,0
43.12,60.69,406.3,862.7,30.0,10,1000,0
32.7,48.15,408.7,681.4,25.0,5,1000,0
30.41,23.54,411.0,329.2,25.0,8,1000,0
45.15,82.97,386.1,124.2,20.0,3,100,1
25.73,24.19,411.2,35.3,20.0,10,100,0
48.23,64.14,403.8,918.5,40.0,1,1000,0
41.36,69.13,403.3,496.2,20.0,25,500,0
31.62,23.36,410.9,328.2,25.0,12,1000,0
104.56,118.08,347.2,491.9,40.0,3,250,2
31.61,25.13,412.3,34.9,25.0,12,100,0
93.79,123.48,347.7,510.4,15.0,8,250,2
51.85,70.78,405.0,253.3,35.0,15,250,0
44.71,45.58,408.7,643.9,35.0,10,1000,0
30.85,55.4,408.5,194.6,20.0,8,250,0
27.02,54.71,408.1,775.1,20.0,3,1000,0
92.7,120.2,351.3,195.9,25.0,3,100,2
46.37,62.83,407.2,90.8,35.0,5,100,0
62.46,84.31,385.3,126.5,30.0,8,100,1
29.91,69.62,405.1,497.2,20.0,1,500,0
68.83,95.99,379.4,143.8,25.0,15,100,1
132.42,133.11,343.9,2234.6,40.0,12,1000,2
45.02,53.42,406.2,380.5,35.0,8,500,0
91.92,116.75,350.4,964.6,25.0,5,500,2
24.41,45.26,407.8,161.5,20.0,1,250,0
59.65,104.85,375.7,158.4,20.0,3,100,1
42.33,35.12,409.3,125.0,40.0,1,250,0
18.97,34.14,410.1,238.7,15.0,5,500,0
27.58,52.12,406.3,371.5,15.0,15,500,0
31.27,53.22,405.3,379.9,25.0,2,500,0
124.17,125.87,345.0,212.6,40.0,12,100,2
71.77,100.68,381.6,151.2,25.0,12,100,1
54.54,36.53,410.2,258.7,40.0,25,500,0
126.8,138.95,338.2,593.8,35.0,5,250,2
47.46,28.2,412.0,38.2,40.0,12,100,0
35.86,40.88,409.4,286.5,25.0,15,500,0
35.08,60.19,407.1,212.7,15.0,25,250,0
36.31,26.37,413.0,369.2,30.0,10,1000,0
74.54,92.33,385.1,344.2,35.0,12,250,1
38.67,27.88,409.5,195.9,30.0,15,500,0
45.85,91.82,381.3,141.2,15.0,1,100,1
41.86,24.14,410.6,84.5,40.0,2,250,0
105.74,119.64,351.7,1963.4,35.0,5,1000,2
123.83,138.93,339.0,1182.2,35.0,2,500,2
101.32,122.44,345.3,1022.2,20.0,10,500,2
34.24,37.93,407.6,52.1,30.0,3,100,0
37.02,28.4,411.1,100.6,30.0,10,250,0
98.9,110.22,353.9,452.4,40.0,5,250,2
111.6,132.05,344.7,219.7,30.0,1,100,2
89.86,113.2,352.6,1853.5,30.0,3,1000,2
42.53,45.06,407.8,637.9,30.0,15,1000,0
107.98,126.62,346.3,1055.8,35.0,1,500,2
26.52,49.55,406.1,351.9,20.0,5,500,0
55.1,73.31,403.6,1048.6,40.0,8,1000,0
40.87,55.35,405.1,80.2,35.0,1,100,0
109.59,138.82,337.1,2379.5,20.0,2,1000,2
76.61,102.15,380.6,1550.4,30.0,15,1000,1
27.32,52.75,407.0,76.4,15.0,15,100,0
34.31,68.2,404.8,974.4,25.0,2,1000,0
26.34,47.48,408.9,669.2,15.0,12,1000,0
68.53,99.98,381.7,151.7,20.0,15,100,1
49.43,64.69,406.0,231.8,40.0,3,250,0
35.12,24.05,412.7,32.4,30.0,8,100,0
31.41,40.94,410.1,145.0,15.0,25,250,0
26.62,34.9,410.2,246.5,15.0,20,500,0
49.3,60.59,407.4,84.6,35.0,12,100,0
71.0,81.4,384.0,307.5,40.0,12,250,1
52.27,50.21,408.2,354.9,35.0,25,500,0
30.3,67.74,402.9,483.9,20.0,2,500,0
44.3,41.17,408.4,292.2,40.0,3,500,0
61.19,104.34,376.2,800.2,20.0,5,500,1
50.4,86.77,387.6,131.1,20.0,3,100,1
24.15,44.44,410.1,312.3,15.0,12,500,0
45.47,24.16,410.0,170.5,35.0,20,500,0
21.17,34.19,408.9,121.5,15.0,8,250,0
27.54,74.79,405.2,534.9,15.0,3,500,0
109.77,133.24,339.9,226.8,30.0,1,100,2
42.56,35.5,408.6,50.1,40.0,1,100,0
46.98,85.13,383.5,126.2,20.0,2,100,1
28.22,30.1,410.6,104.9,25.0,3,250,0
42.02,55.68,407.1,78.4,30.0,12,100,0
37.35,42.2,409.4,149.5,30.0,8,250,0
47.97,80.36,385.3,600.3,25.0,1,500,1
29.35,40.42,407.9,58.6,20.0,12,100,0
91.07,124.58,346.0,2081.7,15.0,5,1000,2
29.47,26.11,412.6,181.1,25.0,5,500,0
37.54,22.46,410.6,314.6,30.0,15,1000,0
53.83,58.54,407.1,207.0,40.0,12,250,0
18.65,43.27,407.7,611.6,15.0,1,1000,0
102.42,112.18,356.1,1820.8,20.0,20,1000,2
24.17,69.38,403.0,97.7,15.0,1,100,0
28.93,48.18,406.2,173.0,15.0,20,250,0
54.07,84.11,384.7,318.3,20.0,12,250,1
31.6,69.97,405.0,500.0,20.0,2,500,0
42.26,32.86,409.8,463.0,30.0,20,1000,0
35.03,33.91,409.0,46.4,20.0,25,100,0
34.62,37.64,410.5,132.5,30.0,3,250,0
23.84,61.01,405.3,87.2,15.0,1,100,0
24.92,52.83,408.2,185.1,15.0,10,250,0
32.71,74.04,403.2,531.4,15.0,12,500,0
115.9,120.44,346.2,2009.9,35.0,12,1000,2
102.92,116.86,350.7,480.9,30.0,8,250,2
137.67,136.76,340.5,580.9,40.0,10,250,2
36.08,22.63,412.4,80.0,25.0,20,250,0
85.62,111.51,356.4,1808.5,25.0,5,1000,2
43.16,23.46,413.2,82.0,35.0,15,250,0
78.99,104.87,377.7,401.2,30.0,15,250,1
60.25,70.76,404.5,1009.6,40.0,20,1000,0
22.73,56.44,406.2,200.3,15.0,2,250,0
19.56,36.17,408.8,126.9,15.0,2,250,0
22.84,64.49,405.9,229.9,15.0,1,250,0
65.52,98.58,382.3,149.8,30.0,2,100,1
94.39,112.54,353.0,1843.4,25.0,10,1000,2
45.54,61.45,404.2,86.5,25.0,25,100,0
94.76,118.76,350.2,486.6,15.0,15,250,2
41.36,45.32,408.9,640.9,30.0,15,1000,0
43.73,37.13,410.2,263.0,40.0,2,500,0
34.57,57.22,406.1,204.9,20.0,15,250,0
51.05,45.74,409.0,324.3,40.0,15,500,0
37.02,22.51,412.7,31.3,30.0,12,100,0
63.06,80.86,384.6,306.2,30.0,12,250,1
38.11,26.83,411.0,187.7,35.0,2,500,0
49.99,63.69,403.9,92.9,35.0,12,100,0
105.97,122.45,346.9,2039.7,25.0,12,1000,2
58.96,93.81,379.2,357.2,20.0,10,250,1
22.31,20.08,410.2,141.1,20.0,5,500,0
33.42,21.11,412.4,74.5,25.0,15,250,0
48.43,66.03,405.9,469.2,35.0,10,500,0
26.44,57.67,405.4,822.5,15.0,8,1000,0
35.65,28.96,410.6,204.6,30.0,8,500,0
33.51,65.19,404.5,930.9,20.0,12,1000,0
45.87,73.99,402.5,529.4,25.0,20,500,0
82.27,103.88,375.6,1599.2,40.0,8,1000,1
50.15,54.52,406.9,772.2,35.0,20,1000,0
116.25,126.6,347.1,1050.4,15.0,25,500,2
42.44,47.55,409.3,66.1,35.0,5,100,0
42.57,47.34,406.2,672.9,35.0,8,1000,0
34.7,36.01,407.8,509.3,20.0,25,1000,0
48.06,56.95,408.2,805.6,35.0,12,1000,0
23.84,44.11,408.8,156.2,15.0,10,250,0
122.99,114.78,354.8,186.3,40.0,20,100,2
50.66,72.76,404.6,102.2,35.0,12,100,0
31.85,68.48,405.2,98.2,20.0,5,100,0
89.23,94.04,380.7,356.1,40.0,25,250,1
75.63,92.86,380.6,349.6,30.0,20,250,1
47.66,64.96,406.5,459.7,35.0,10,500,0
30.36,21.03,413.4,74.9,20.0,20,250,0
45.94,80.8,384.4,119.9,20.0,3,100,1
99.18,122.5,346.0,1019.3,30.0,3,500,2
49.63,28.86,412.1,201.5,35.0,25,500,0
35.96,36.84,411.4,51.1,20.0,25,100,0
115.22,122.75,346.0,513.7,30.0,15,250,2
29.91,37.47,409.5,263.5,20.0,15,500,0
117.51,130.75,343.8,1097.3,40.0,1,500,2
106.4,111.11,356.7,451.9,20.0,25,250,2
41.43,33.63,408.2,239.6,35.0,8,500,0
32.74,49.48,405.9,351.6,15.0,25,500,0
85.44,119.72,348.8,199.5,20.0,2,100,2
49.57,25.4,412.7,176.8,40.0,15,500,0
21.36,21.67,412.0,150.4,15.0,12,500,0
62.21,104.6,376.4,1604.8,15.0,12,1000,1
25.47,53.75,408.4,188.0,15.0,8,250,0
37.16,54.02,407.1,190.1,25.0,12,250,0
44.09,36.65,409.5,259.8,40.0,1,500,0
37.97,32.59,409.0,230.4,25.0,20,500,0
62.4,67.79,405.6,94.7,40.0,25,100,0
55.19,65.35,406.6,93.8,40.0,12,100,0
34.3,55.17,407.9,782.7,25.0,5,1000,0
43.86,27.53,409.7,389.0,40.0,3,1000,0
33.78,74.81,402.8,534.6,20.0,5,500,0
22.66,62.52,406.8,222.8,15.0,1,250,0
47.32,22.24,410.7,78.4,40.0,12,250,0
18.53,36.06,409.4,52.0,15.0,3,100,0
87.29,119.05,351.3,194.0,20.0,2,100,2
32.23,22.94,409.7,81.5,30.0,3,250,0
41.59,20.29,413.3,284.7,30.0,20,1000,0
20.32,34.93,411.3,122.9,15.0,5,250,0
60.84,102.2,382.1,771.3,15.0,12,500,1
52.66,58.65,404.8,83.8,35.0,20,100,0
26.2,51.65,409.1,364.8,15.0,10,500,0
36.22,66.65,404.6,238.7,15.0,25,250,0
34.95,41.94,408.5,146.3,30.0,1,250,0
34.67,30.58,412.0,427.4,20.0,25,1000,0
34.85,41.61,410.4,147.0,30.0,3,250,0
30.86,21.34,410.4,301.3,30.0,1,1000,0
26.17,52.59,406.4,188.0,20.0,2,250,0
22.71,21.59,411.3,304.6,15.0,12,1000,0
32.24,72.83,403.8,522.0,15.0,12,500,0
61.32,69.84,406.1,497.4,40.0,25,500,0
24.51,45.17,409.6,638.4,15.0,10,1000,0
46.62,37.57,408.1,264.3,40.0,8,500,0
44.93,29.65,410.1,208.2,30.0,25,500,0
28.46,47.61,406.1,675.4,20.0,8,1000,0
38.66,28.08,411.3,40.0,35.0,5,100,0
24.49,56.55,408.0,800.9,15.0,8,1000,0
38.94,46.88,409.6,166.2,30.0,10,250,0
20.84,47.82,409.1,170.0,15.0,2,250,0
129.08,129.18,341.0,1091.1,35.0,15,500,2
45.69,71.02,404.4,253.3,35.0,1,250,0
26.29,25.47,411.6,357.1,20.0,10,1000,0
22.1,24.65,411.1,345.5,15.0,12,1000,0
60.94,64.3,404.3,916.5,40.0,25,1000,0
65.04,93.95,379.6,354.4,25.0,12,250,1
39.55,69.95,404.4,99.6,20.0,20,100,0
24.95,44.7,409.5,158.8,15.0,10,250,0
36.37,40.89,410.2,142.0,25.0,15,250,0
87.31,86.55,384.9,649.6,40.0,25,500,1
45.55,73.16,406.0,1039.2,30.0,10,1000,0
27.67,37.21,408.5,133.2,20.0,10,250,0
